rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,opponent
15,2.0,01:11:01,106548.0,9,6,7,3,smash,1.0,,2.0,8,729.0,340.0,1.0,6,447.0,617.0,Opponent Shuttle Landing,Shuttle Landing,B,,8,754.0,331.0,8,673.0,578.0,0,11
16,12.0,01:11:26,107158.0,9,7,11,3,lob,,,1.0,2,481.0,479.0,2.0,14,408.0,315.0,Well Wide,Opponent Well Wide,B,,2,493.0,498.0,8,589.0,384.0,0,7
17,14.0,01:11:54,107852.0,9,8,11,3,lob,,,1.0,2,500.0,488.0,2.0,13,534.0,305.0,Well Wide,Opponent Well Wide,B,,2,484.0,509.0,8,573.0,383.0,0,7
18,2.0,01:12:13,108337.0,10,8,11,3,wrist smash,1.0,,1.0,9,784.0,631.0,2.0,6,837.0,368.0,Opponent Shuttle Landing,Shuttle Landing,A,,9,758.0,644.0,8,651.0,366.0,0,7
19,38.0,01:13:11,109792.0,10,9,7,3,rush,,1.0,2.0,2,803.0,442.0,1.0,8,499.0,630.0,Opponent Shuttle Landing,Shuttle Landing,B,,2,791.0,426.0,8,775.0,522.0,0,11
20,14.0,01:13:51,110790.0,11,9,11,3,drop,,,2.0,9,507.0,652.0,1.0,1,485.0,445.0,Opponent Shuttle Landing,Shuttle Landing,A,,9,559.0,657.0,8,625.0,351.0,0,7
21,16.0,01:15:35,113397.0,12,9,7,3,return net,,1.0,1.0,8,669.0,581.0,2.0,7,734.0,463.0,Hanging Net,Opponent Hanging Net,A,,8,696.0,591.0,6,771.0,363.0,0,11
22,18.0,01:16:16,114408.0,13,9,7,3,return net,,,1.0,8,740.0,576.0,2.0,1,815.0,466.0,Hanging Net,Opponent Hanging Net,A,,8,674.0,572.0,8,626.0,336.0,0,11
23,20.0,01:16:59,115491.0,13,10,7,3,smash,,,2.0,3,837.0,637.0,1.0,6,832.0,349.0,Opponent Shuttle Landing,Shuttle Landing,B,,3,809.0,639.0,8,666.0,350.0,0,11
24,4.0,01:17:32,116302.0,13,11,11,3,wrist smash,,,2.0,6,762.0,332.0,1.0,11,920.0,625.0,Well Wide,Opponent Well Wide,B,,8,710.0,330.0,8,668.0,590.0,0,7
25,25.0,01:18:13,117327.0,14,11,7,3,return net,,1.0,1.0,8,503.0,573.0,2.0,2,415.0,470.0,Net Error,Opponent Net Error,A,,8,624.0,576.0,8,716.0,349.0,0,11
26,43.0,01:19:58,119953.0,15,11,11,3,rush,,,2.0,2,777.0,422.0,1.0,6,466.0,618.0,Opponent Shuttle Landing,Shuttle Landing,A,,7,741.0,401.0,8,741.0,600.0,0,7
27,9.0,01:21:09,121742.0,15,12,11,3,push,,1.0,1.0,1,489.0,427.0,2.0,13,813.0,680.0,Well Wide,Opponent Well Wide,B,,7,531.0,418.0,8,588.0,552.0,0,7
28,10.0,01:21:38,122461.0,15,13,11,3,return net,,,1.0,8,759.0,360.0,2.0,6,821.0,343.0,Net Error,Opponent Net Error,B,,8,690.0,362.0,8,678.0,572.0,0,7
29,9.0,01:22:05,123137.0,15,14,7,3,smash,,,2.0,3,817.0,633.0,1.0,5,444.0,369.0,Opponent Shuttle Landing,Shuttle Landing,B,,8,777.0,625.0,8,683.0,346.0,0,11
30,19.0,01:23:27,125197.0,15,15,7,3,smash,,,2.0,3,836.0,632.0,1.0,6,805.0,356.0,Opponent Shuttle Landing,Shuttle Landing,B,,8,803.0,628.0,8,679.0,349.0,0,11
31,39.0,01:24:32,126816.0,16,15,7,3,defensive return lob,,1.0,1.0,8,665.0,547.0,2.0,15,326.0,359.0,Well Wide,Opponent Well Wide,A,,8,716.0,531.0,2,779.0,443.0,0,11
32,11.0,01:25:23,128083.0,16,16,11,3,defensive return lob,,,1.0,8,730.0,377.0,2.0,13,860.0,679.0,Well Wide,Opponent Well Wide,B,,8,717.0,364.0,8,670.0,590.0,0,7
33,7.0,01:25:56,128910.0,17,16,7,3,net shot,,1.0,1.0,2,497.0,488.0,2.0,2,447.0,466.0,Hanging Net,Opponent Hanging Net,A,,7,521.0,504.0,7,557.0,409.0,0,11
34,7.0,01:26:27,129683.0,17,17,11,3,drive,,,1.0,8,734.0,363.0,2.0,15,331.0,591.0,Well Wide,Opponent Well Wide,B,,8,703.0,374.0,8,740.0,526.0,0,7
35,24.0,01:27:50,131758.0,18,17,11,3,rush,,,2.0,7,713.0,412.0,1.0,9,688.0,648.0,Opponent Shuttle Landing,Shuttle Landing,A,,8,676.0,397.0,8,619.0,581.0,0,7
36,2.0,01:28:23,132590.0,19,17,7,3,push,,,1.0,8,664.0,558.0,2.0,13,496.0,304.0,Well Wide,Opponent Well Wide,A,,8,673.0,527.0,8,641.0,372.0,0,11
37,6.0,01:28:54,133358.0,20,17,7,3,return net,,,1.0,8,630.0,591.0,2.0,16,305.0,494.0,Net Error,Opponent Net Error,A,,8,657.0,594.0,9,750.0,314.0,0,11
38,17.0,01:29:39,134498.0,20,18,11,3,defensive return drive,,,1.0,8,715.0,369.0,2.0,13,445.0,684.0,Well Wide,Opponent Well Wide,B,,8,648.0,360.0,8,674.0,565.0,0,7
39,13.0,01:30:23,135576.0,21,18,7,3,net shot,,,1.0,7,773.0,506.0,2.0,1,822.0,468.0,Hanging Net,Opponent Hanging Net,A,,7,786.0,519.0,8,716.0,369.0,0,11
